0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
88.62042,-89.737625,66.768616,-7.517301,10.947138,0.9400499,8.730313,4.143868,-12.824093,9.839701,-47.747585,66.68983,5.4431,21.71571,-8.395767,10.100764,-39.15174,37.6157,22.046644,20.595158,-13.6427355,33.11478,-11.044675,2.4729178,-3.9476385,31.57405,-8.182554,-6.519265,-0.5459473,15.753196,-18.849749,-6.363961,12.0007715,-17.657635,-3.0605388,-2.1210122,-4.8540063,4.2599483,-3.8233843,-5.738466,-1.6314596,-12.634835,9.520013,7.868852,-47.420197,-24.070812,1.2506205,0.54947203,-9.593888,-6.988624
44.013145,-79.78382,45.76846,-9.641246,19.019094,-2.261807,5.8039103,0.53778565,-11.567397,8.157936,-43.39252,31.633774,18.605951,14.684292,-4.7649813,5.104847,-24.780586,22.286083,17.251291,17.161114,-10.484124,18.078642,-3.0288954,-0.19112249,-3.388292,20.003239,-11.251989,-8.174051,-1.8524435,7.600688,-17.301208,-7.395292,8.974684,2.128716,5.5896554,-3.6947355,-3.7998805,9.295512,-11.621624,2.672216,-0.57489145,-10.629613,-1.125134,4.2395396,-11.613093,-12.173424,6.451595,1.2552009,-4.788842,-5.949756
-2.5946908,-56.34238,24.801075,-4.7884707,-3.7622137,8.570695,9.002907,0.11747238,-9.396763,0.36848083,-23.980736,37.609642,3.807827,14.230116,-2.205311,7.527488,-18.731155,20.281527,13.382571,10.228344,-9.309347,16.54406,-5.9270873,-1.24839,1.1342032,16.940014,-5.866587,-1.6079142,-0.23779526,7.053205,-7.6402235,-2.8294837,6.7012405,-7.88561,-1.8070766,-4.910997,-2.6558666,-0.6126586,-0.7783686,-1.379969,-1.5752658,-1.2258661,2.488585,3.2404673,-13.918102,-3.9785264,5.552575,0.25463918,-2.092115,-2.630292
71.736404,-98.57197,74.42262,-11.046937,66.14168,-18.509377,-11.11522,5.1443815,-8.6839905,1.5748221,11.929855,-27.63405,9.61326,3.4518445,14.434975,-6.803409,5.585249,0.48555684,11.734604,-10.150932,-5.056353,-0.52621275,18.964392,-5.0557137,11.317578,-5.427885,-9.51311,-13.895534,-6.96199,0.026458956,3.6419048,-2.5210195,13.76974,15.781359,6.204705,-14.682199,-2.3045638,12.548036,-5.538712,-3.0638013,-4.2991424,-8.444192,-2.63009,-7.9860973,11.206226,-11.001808,-23.24807,-17.078188,2.0319538,-7.75835
-10.915247,-61.05948,22.45486,-5.9177146,31.666986,-3.9573014,-0.88294595,1.4178503,-8.277709,0.39366958,15.891557,-13.506987,2.6048832,0.4659152,13.983667,-5.426503,1.3156025,7.862795,7.3575864,-8.207956,-1.7582538,-1.5638026,16.0377,-7.3594904,13.067563,-1.8999736,-0.5706797,-1.9126337,-5.0540886,2.5286112,5.7576284,6.5115056,9.304386,-1.2740567,5.6191826,-9.978477,-0.92657804,22.793058,1.8794096,-4.071385,-9.192767,-5.670319,1.1976571,-11.1638365,-1.9729912,-5.935988,-22.76407,-5.000755,11.739712,2.6805298
65.69229,-82.45628,71.505554,-0.38400185,32.512547,3.4906807,-5.98824,5.967768,8.073826,-18.390814,44.34049,5.3750525,-17.737299,14.527899,21.227348,7.9646482,9.138312,-5.6114736,7.8378606,-16.001558,-9.317577,1.206865,-2.5179675,1.5585914,8.701779,1.3168644,-3.1568608,-11.486725,-8.463482,14.6793,19.198582,-4.4556727,14.005722,-16.054102,-5.2237644,-6.5787587,-2.3848772,-15.739679,12.349606,-11.174473,7.8070793,27.08641,5.752521,-2.3830888,-18.004263,9.251501,4.8935556,-1.5533565,9.12491,9.04921
110.46117,-105.641174,90.524124,-5.7550044,73.29306,-15.733971,-10.381594,10.02959,1.7239925,-2.783649,43.050926,-20.633049,-0.7664403,9.215796,29.635586,0.4034543,5.6216297,-3.9350684,12.180521,-16.061712,-7.133842,-0.48171768,10.95953,-0.69947594,12.805658,0.5221736,-8.325243,-19.520147,-13.526689,19.328117,17.669197,-0.93173546,22.786047,-11.975513,8.69003,-7.7422943,-4.3331137,18.649618,11.121855,-9.221488,-0.06207607,16.808172,0.75812835,-11.386872,-22.260252,-5.4219723,-10.993409,1.7233996,24.224466,16.658478
-12.074105,-62.490864,35.896717,-2.1051052,6.529154,17.605263,-7.3254423,-4.1520658,12.581316,-39.859512,57.261997,23.01063,-28.645777,27.520702,45.415848,24.367432,26.143415,-22.53399,14.437699,-65.229904,-76.17017,8.166595,-59.257633,73.38269,-66.32382,21.305597,0.10929109,30.590693,16.46113,-16.964825,-25.26469,11.773478,-12.396995,11.258847,3.5129972,6.022296,2.5123067,14.872868,-3.212784,5.8980784,-4.7511024,-11.968965,-0.8724902,0.48291337,5.8366313,-1.5100766,-3.1865697,0.34560463,-0.12546986,-1.439739
66.310265,-65.03442,54.66688,-9.430555,-21.051962,15.695255,48.585743,12.81526,43.240303,-14.121172,5.09435,-10.284507,-0.5219344,1.9073647,9.449723,2.0637896,19.428457,-2.540364,10.763006,-5.2088804,7.573317,1.8963181,-21.83139,-9.048647,8.988616,8.320437,4.4496512,-33.625053,-4.931461,18.01064,-3.7733028,1.4650756,-25.416357,11.376099,-23.332638,1.7265708,0.25080928,-26.179527,-2.418624,3.0795984,10.2649975,15.90816,-6.9185553,29.919758,-2.4723458,5.3951974,-11.186352,-2.8912194,-0.57435894,0.090134695
52.25656,-67.46277,47.52878,-10.765393,-10.427417,10.430668,45.80711,10.762138,40.73594,-13.021383,-3.7537193,-19.575686,9.114763,2.3189943,8.787705,0.46565443,16.141321,-4.101252,11.394515,-3.6180649,7.1527095,0.22603746,-19.60863,-10.720016,8.411073,12.01709,1.1653525,-39.993404,-8.725695,18.32119,-10.397255,-1.3422103,-25.003407,19.521189,-17.165632,-0.68795717,1.9313847,-14.509499,-11.064523,21.128325,6.2843113,12.907633,-21.303259,42.01416,-3.6978931,-6.8428392,-15.465246,6.2694654,5.9113,4.4497857
